AC,priority,label-val,between_connectivity,cluster
30079,False,0,0,1.0
51094,False,0,0,1.0
17769,False,0,0,0.0
28096,False,0,0,1.0
5951,False,0,0,1.0
28102,False,0,0,1.0
11218,False,0,0,1.0
51177,False,0,0,1.0
26060,False,0,0,1.0
7248,False,0,0,1.0
34346,False,0,0,1.0
11362,False,0,0,1.0
5592,False,0,0,1.0
1634,False,0,0,0.0
19771,False,0,0,1.0
15150,False,0,0,1.0
5406,False,0,0,1.0
17664,False,0,0,1.0
5471,False,0,0,1.0
17613,False,0,0,1.0
11281,False,0,0,1.0
15127,False,0,0,1.0
11315,False,0,0,1.0
30097,False,0,0,1.0
36405,False,0,0,1.0
6894,False,0,0,1.0
18119,False,0,0,1.0
16198,False,0,0,1.0
6900,False,0,0,1.0
25046,False,0,0,1.0
27772,False,0,0,1.0
27705,False,0,0,1.0
25031,False,0,0,1.0
50612,False,0,0,1.0
27691,False,0,0,1.0
50786,False,0,0,1.0
18180,False,0,0,1.0
6457,False,0,0,0.0
6999,False,0,0,1.0
18063,False,0,0,1.0
16176,False,0,0,1.0
27608,False,0,0,1.0
4280,False,0,0,1.0
15837,False,0,0,1.0
30813,False,0,0,1.0
17359,False,0,0,1.0
51547,False,0,0,1.0
15840,False,0,0,1.0
5036,False,0,0,1.0
17254,False,0,0,1.0
26970,False,0,0,1.0
15560,False,0,0,1.0
15483,False,0,0,1.0
30969,False,0,0,1.0
26893,False,0,0,1.0
15517,False,0,0,1.0
5041,False,0,0,1.0
26907,False,0,0,1.0
19336,False,0,0,1.0
34695,False,0,0,1.0
50255,False,0,0,1.0
16866,False,0,0,1.0
27342,False,0,0,1.0
25476,False,0,0,1.0
18529,False,0,0,1.0
25595,False,0,0,1.0
18890,False,0,0,1.0
25401,False,0,0,1.0
16811,False,0,0,1.0
18904,False,0,0,1.0
25921,False,0,0,1.0
16531,False,0,0,1.0
18424,False,0,0,1.0
10037,False,0,0,1.0
27238,False,0,0,1.0
6184,False,0,0,1.0
10040,False,0,0,1.0
16888,False,0,0,1.0
25498,False,0,0,1.0
16546,False,0,0,2.0
6010,False,0,0,1.0
25956,False,0,0,1.0
15410,False,0,0,0.0
17324,False,0,0,1.0
26800,False,0,0,1.0
19231,False,0,0,1.0
30434,False,0,0,1.0
15584,False,0,0,1.0
3440,False,0,0,1.0
26994,False,0,0,1.0
34606,False,0,0,1.0
30819,False,0,0,1.0
19246,False,0,0,1.0
5131,False,0,0,1.0
17353,False,0,0,0.0
26877,False,0,0,1.0
15467,False,0,0,1.0
51440,False,0,0,1.0
30963,False,0,0,0.0
15489,False,0,0,1.0
26557,False,0,0,2.0
30880,False,0,0,1.0
36048,False,0,0,1.0
15930,False,0,0,1.0
4623,False,0,0,1.0
16441,False,0,0,1.0
6117,False,0,0,1.0
25851,False,0,0,1.0
50228,False,0,0,1.0
10147,False,0,0,1.0
10130,False,0,0,1.0
27348,False,0,0,2.0
6160,False,0,0,1.0
18523,False,0,0,1.0
16916,False,0,0,1.0
18803,False,0,0,1.0
50325,False,0,0,1.0
18459,False,0,0,1.0
25492,False,0,0,1.0
4759,False,0,0,1.0
18874,False,0,0,1.0
16961,False,0,0,1.0
1744,False,0,0,1.0
17680,False,0,0,1.0
11212,False,0,0,1.0
34236,False,0,0,0.0
30190,False,0,0,1.0
5576,False,0,0,1.0
7242,False,0,0,1.0
15020,False,0,0,1.0
30004,False,0,0,1.0
19601,False,0,0,1.0
7235,False,0,0,1.0
15057,False,0,0,1.0
11265,False,0,0,1.0
17619,False,0,0,1.0
28072,False,0,0,1.0
51070,False,0,0,1.0
5821,False,0,0,1.0
5856,False,0,0,1.0
5598,False,0,0,1.0
51007,False,0,0,0.0
28005,False,0,0,1.0
51193,False,0,0,1.0
50618,False,0,0,1.0
6527,False,0,0,1.0
16071,False,0,0,0.0
4264,False,0,0,1.0
16006,False,0,0,1.0
18113,False,0,0,1.0
16192,False,0,0,1.0
27778,False,0,0,1.0
18087,False,0,0,1.0
27796,False,0,0,2.0
18069,False,0,0,1.0
50681,False,0,0,1.0
25136,False,0,0,1.0
50715,False,0,0,1.0
50762,False,0,0,1.0
6807,False,0,0,1.0
25141,False,0,0,1.0
4369,False,0,0,1.0
6993,False,0,0,1.0
16735,False,0,0,1.0
4899,False,0,0,1.0
18620,False,0,0,1.0
10244,False,0,0,1.0
18657,False,0,0,1.0
16742,False,0,0,1.0
27146,False,0,0,1.0
16638,False,0,0,1.0
25791,False,0,0,1.0
6319,False,0,0,1.0
27131,False,0,0,1.0
25605,False,0,0,1.0
30740,False,0,0,1.0
15764,False,0,0,1.0
17050,False,0,0,1.0
5232,False,0,0,1.0
34572,False,0,0,1.0
11556,False,0,0,1.0
15687,False,0,0,1.0
11521,False,0,0,1.0
26759,False,0,0,1.0
17027,False,0,0,1.0
15713,False,0,0,1.0
30737,False,0,0,1.0
26623,False,0,0,1.0
15669,False,0,0,1.0
26654,False,0,0,1.0
34408,False,0,0,1.0
6653,False,0,0,1.0
16305,False,0,0,1.0
27821,False,0,0,1.0
4167,False,0,0,1.0
18210,False,0,0,1.0
50936,False,0,0,1.0
27598,False,0,0,1.0
18267,False,0,0,1.0
16372,False,0,0,1.0
27856,False,0,0,1.0
4110,False,0,0,1.0
6624,False,0,0,1.0
25338,False,0,0,1.0
4084,False,0,0,1.0
16208,False,0,0,1.0
50461,False,0,0,1.0
27576,False,0,0,1.0
25242,False,0,0,1.0
25235,False,0,0,1.0
27501,False,0,0,1.0
27495,False,0,0,1.0
34142,False,0,0,1.0
5796,False,0,0,1.0
51209,False,0,0,1.0
30370,False,0,0,1.0
5602,False,0,0,1.0
15354,False,0,0,1.0
7136,False,0,0,1.0
11085,False,0,0,1.0
7141,False,0,0,1.0
17417,False,0,0,1.0
19502,False,0,0,1.0
